EMP_NO,ARROND,ARROND_NOM,Rue,Essence_ang,Date_Plantation,NOM_PARC,Coord_X,Coord_Y,Longitude,Latitude
80378,16,Verdun,,Ohio Buckeye,,DE L'HONORABLE-GEORGE-O'REILLEY,298561.955,5033375.494,-73.579737,45.440284
80379,16,Verdun,,Silver Maple,,DE L'HONORABLE-GEORGE-O'REILLEY,298842.279,5033603.389,-73.576156,45.442337
80380,16,Verdun,,Silver Maple,,DE L'HONORABLE-GEORGE-O'REILLEY,298835.47,5033603.641,-73.576244,45.442339
80381,16,Verdun,,Silver Maple,,DE L'HONORABLE-GEORGE-O'REILLEY,298825.735,5033617.653,-73.576368,45.442465
80382,16,Verdun,,Sugar Maple,,DE L'HONORABLE-GEORGE-O'REILLEY,298874.311,5033594.963,-73.575747,45.442261
80383,16,Verdun,,Common Hackberry,,DE L'ÉPERVIÈRE,301108.242,5036243.667,-73.547211,45.466111
80384,16,Verdun,,Silver Maple,,DE L'HONORABLE-GEORGE-O'REILLEY,298822.392,5033605.983,-73.576411,45.44236
80385,16,Verdun,,Littleleaf European Linden,,LACOURSIÈRE,300913.418,5036152.15,-73.549702,45.465287
80386,16,Verdun,,Red Oak,,DE L'HONORABLE-GEORGE-O'REILLEY,298521.416,5033307.399,-73.580254,45.439671
80387,16,Verdun,,Ohio Buckeye,,DE L'HONORABLE-GEORGE-O'REILLEY,298579.552,5033378.83,-73.579512,45.440314
80388,16,Verdun,,Golden Weeping Willow,2024-11-20T00:00:00,LACOURSIÈRE,300899.47,5036181.612,-73.54988,45.465552
80389,16,Verdun,,Silver Maple,,DE L'HONORABLE-GEORGE-O'REILLEY,298830.712,5033574.462,-73.576304,45.442077
80390,16,Verdun,,Silver Maple,,DE L'HONORABLE-GEORGE-O'REILLEY,298943.196,5033675.646,-73.574867,45.442988
80391,16,Verdun,,Common Hackberry,2024-10-10T00:00:00,DE L'HONORABLE-GEORGE-O'REILLEY,298942.953,5033682.506,-73.574871,45.44305
80392,16,Verdun,,Ivory Silk Japanese Tree Lilac,,DE L'HONORABLE-GEORGE-O'REILLEY,298944.919,5033695.966,-73.574846,45.443171
80393,16,Verdun,,Ohio Buckeye,,DE L'HONORABLE-GEORGE-O'REILLEY,298957.158,5033704.408,-73.574689,45.443247
80394,16,Verdun,,Ohio Buckeye,,DE L'HONORABLE-GEORGE-O'REILLEY,298949.923,5033716.617,-73.574782,45.443357
80395,16,Verdun,,Silver Maple,,DE L'HONORABLE-GEORGE-O'REILLEY,298821.963,5033575.663,-73.576416,45.442087
80396,16,Verdun,,Red Oak,,DE L'HONORABLE-GEORGE-O'REILLEY,298955.311,5033778.094,-73.574714,45.44391
80397,16,Verdun,,Red Oak,,DE L'HONORABLE-GEORGE-O'REILLEY,298953.523,5033768.128,-73.574736,45.44382
80398,16,Verdun,,Silver Maple,,DE L'HONORABLE-GEORGE-O'REILLEY,298800.755,5033590.062,-73.576687,45.442217
80399,16,Verdun,,Glenleven Littleleaf Linden,,DE L'HONORABLE-GEORGE-O'REILLEY,299222.827,5034156.975,-73.571298,45.447322
80400,16,Verdun,,Freeman Maple,,DE L'HONORABLE-GEORGE-O'REILLEY,299458.103,5034352.423,-73.568293,45.449082
80401,16,Verdun,,European Linden,,DE L'HONORABLE-GEORGE-O'REILLEY,299402.509,5034246.827,-73.569002,45.448131
80402,16,Verdun,,Red Ash,,BOISÉ RIVERAIN,300574.374,5035541.071,-73.554032,45.459786
80403,16,Verdun,,Acer rubrum 'Autumn Flame',,DE L'ORÉE-DU-FLEUVE,300839.967,5034317.158,-73.550626,45.448774
80404,16,Verdun,,Common Hackberry,,MAYNARD-FERGUSON,300197.788,5034173.816,-73.558835,45.44748
80405,16,Verdun,,Bur Oak,,DE L'ORÉE-DU-FLEUVE,301006.523,5034690.594,-73.5485,45.452135
80406,16,Verdun,,Common Hackberry,,MAYNARD-FERGUSON,300200.39,5034180.47,-73.558801,45.44754
80407,16,Verdun,,Common Hackberry,,MAYNARD-FERGUSON,300209.403,5034185.663,-73.558686,45.447587
80408,16,Verdun,,Crab Apple,,MAYNARD-FERGUSON,300212.358,5034193.973,-73.558649,45.447662
80409,16,Verdun,,Austrian Pine,,ARCHIE-WILCOX,299537.482,5034724.415,-73.567282,45.45243
80410,16,Verdun,,Norway Maple,,LACOURSIÈRE,300611.709,5035879.931,-73.553558,45.462835
80411,16,Verdun,,Aesculus x hybrida,,DU CLUB MARIN,300460.464,5035776.098,-73.555491,45.4619
80412,16,Verdun,,Emerald Queen Norway Maple,,DE L'HONORABLE-GEORGE-O'REILLEY,299232.021,5034035.531,-73.571179,45.446229
80413,16,Verdun,,Ivory Silk Japanese Tree Lilac,,J.-ALBERT-GARIÉPY,300041.792,5035744.408,-73.560844,45.461612
80416,16,Verdun,,Red Oak,,DE L'ORÉE-DU-BOIS,300790.651,5034587.557,-73.551259,45.451207
80418,16,Verdun,,Common Hackberry,,DE L'HONORABLE-GEORGE-O'REILLEY,299476.099,5034374.621,-73.568063,45.449282
80420,16,Verdun,,Crab Apple,,MAYNARD-FERGUSON,300226.533,5034134.941,-73.558467,45.447131
80422,16,Verdun,,Red Oak,,DE L'ORÉE-DU-BOIS,300797.917,5034581.636,-73.551166,45.451154
80423,16,Verdun,,Sugar Maple,,DE L'ORÉE-DU-BOIS,300811.65,5034568.635,-73.55099,45.451037
80424,16,Verdun,,White Elm,,BOISÉ RIVERAIN,300587.73,5035618.584,-73.553862,45.460483
80425,16,Verdun,,Common Hackberry,,DE L'HONORABLE-GEORGE-O'REILLEY,299243.244,5034188.18,-73.571038,45.447602
80426,16,Verdun,,Red Ash,,BOISÉ RIVERAIN,300583.005,5035569.828,-73.553922,45.460045
80427,16,Verdun,,Common Hackberry,,DE L'HONORABLE-GEORGE-O'REILLEY,299256.284,5034198.467,-73.570871,45.447695
80428,16,Verdun,,Red Oak,,DE L'HONORABLE-GEORGE-O'REILLEY,299274.547,5034208.969,-73.570638,45.44779
80429,16,Verdun,,Royal Red Norway Maple,,LACOURSIÈRE,300619.042,5035890.693,-73.553464,45.462932
80430,16,Verdun,,Silver Maple,,ARTHUR-THERRIEN,300110.561,5036348.785,-73.55997,45.467051
80431,16,Verdun,,Siberian Elm,,ARTHUR-THERRIEN,300070.699,5036330.45,-73.56048,45.466886
80432,16,Verdun,,Ohio Buckeye,,DE L'HONORABLE-GEORGE-O'REILLEY,298288.317,5033006.8,-73.58323,45.436964
80434,16,Verdun,,Silver Maple,,DE L'ORÉE-DU-FLEUVE,300931.528,5034312.882,-73.549456,45.448736
80435,16,Verdun,,Autumn Blaze Freeman Maple,,DE L'ORÉE-DU-FLEUVE,300812.269,5034297.022,-73.55098,45.448593
